Source,y_var,X_num1,X_num2,X_num3,X_num4,X_num5,X_cat1,X_cat2,X_cat3,X_cat4,X_cat5
study 103,A,2.423409984756391,2.0465344054997106,2.8183800578864338,4.785665817338018,4.818307811083725,B,A,B,A,A
study 52,A,0.006831224763385713,2.935283154426138,3.0552182186481,5.845840643303809,6.3612313793322075,B,A,B,C,B
study 93,B,-0.23393212323365153,1.6736888771240845,0.49499178843766245,4.267983221519369,5.994305645156946,B,B,A,C,A
study 15,B,0.7744871161286446,-0.23350053268595783,2.2025071495204984,4.6526265969494105,5.113399234176406,C,A,B,A,A
study 107,A,0.30755561461530867,0.7663526341177056,3.8333830270034057,6.931445857037968,5.155339913359136,A,B,B,B,B
study 72,A,2.728498913112256,3.9754382550300558,6.643923964426875,5.866979172302951,2.780227279343042,C,A,B,C,A
study 61,A,-0.502652417846982,0.7450581060640533,2.7059897497924643,4.046388126673749,2.4649841748965953,B,B,A,A,A
study 21,A,1.1027070527930052,4.37483829453876,0.5060605166229677,3.3532796752270935,4.7347665863397435,C,B,B,C,B
study 103,A,4.819072500106713,3.5749764388570746,0.8921262138400365,5.642588299722078,4.050072221980783,C,A,A,C,A
study 83,B,1.6195848006792737,1.5233290934958954,2.946315471092555,5.24392587013883,5.879118551510546,A,B,B,A,A
study 87,A,1.8689352164573279,0.9063812553459516,4.765810197078373,4.6278650239901244,5.295769615708439,C,B,B,C,B
study 75,B,2.7410237435456875,3.5718694536958675,3.956030524313093,3.509479471009768,3.8408384097584305,A,B,A,C,A
study 75,B,0.3055764018619609,1.6386331323595702,3.6903837952651894,3.88541554559975,5.244797689244536,B,A,B,C,A
study 88,A,-0.6221294431181059,-0.3184752095499377,4.963716580376394,3.7787206530729156,4.372650821667616,C,B,B,B,B
study 117,B,1.2647669142441171,2.843474930934887,1.9196563687215729,3.5344468246280574,8.099902067021045,B,B,B,B,A
study 100,A,1.398105742522806,2.6258951717872794,3.028642079936348,3.098277795106026,5.579363448444436,A,A,A,C,A
